number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decoder_0_batch_norm,params_decoder_0_dropout,params_decoder_0_dropout_rate,params_decoder_1_activation,params_decoder_1_batch_norm,params_decoder_1_dropout,params_decoder_1_dropout_rate,params_decoder_1_units,params_decoder_2_activation,params_decoder_2_batch_norm,params_decoder_2_dropout,params_decoder_2_dropout_rate,params_decoder_2_units,params_decoder_3_activation,params_decoder_3_batch_norm,params_decoder_3_dropout,params_decoder_3_dropout_rate,params_decoder_3_units,params_decoder_4_activation,params_decoder_4_batch_norm,params_decoder_4_dropout,params_decoder_4_dropout_rate,params_decoder_4_units,params_decoder_5_activation,params_decoder_5_batch_norm,params_decoder_5_dropout,params_decoder_5_dropout_rate,params_decoder_5_units,params_dropout_rate,params_epochs,params_first_activation,params_first_layer_units,params_l1_strength,params_l2_strength,params_latent_activation,params_latent_dim,params_layer_1_activation,params_layer_1_batch_norm,params_layer_1_dropout,params_layer_1_dropout_rate,params_layer_1_strategy,params_layer_1_units,params_layer_2_activation,params_layer_2_batch_norm,params_layer_2_dropout,params_layer_2_dropout_rate,params_layer_2_strategy,params_layer_2_units,params_layer_3_activation,params_layer_3_batch_norm,params_layer_3_dropout,params_layer_3_dropout_rate,params_layer_3_strategy,params_layer_3_units,params_layer_4_activation,params_layer_4_batch_norm,params_layer_4_dropout,params_layer_4_dropout_rate,params_layer_4_strategy,params_layer_4_units,params_layer_5_activation,params_layer_5_batch_norm,params_layer_5_dropout,params_layer_5_dropout_rate,params_layer_5_strategy,params_layer_5_units,params_learning_rate,params_loss_function,params_lr_factor,params_lr_patience,params_momentum,params_n_encoder_layers,params_optimizer,params_output_activation,params_patience,params_reg_strength,params_regularization_type,params_scaler_type,params_stride,params_train_split,params_use_batch_norm,params_use_dropout,params_use_lr_scheduler,params_weight_decay,state
34,inf,2025-07-14 13:21:14.289531,2025-07-14 13:21:51.138537,0 days 00:00:36.849006,69,False,True,0.15834214660180673,tanh,True,True,0.3901143314860209,190,tanh,False,False,,361.0,,,,,,,,,,,,,,,,,164,gelu,72,,,gelu,48,leaky_relu,False,False,,decrease,,selu,False,False,,custom,352.0,,,,,,,,,,,,,,,,,,,0.004359808566428037,mse,0.5308508675285963,10.0,,3,adam,relu,47,0.0021910473540154474,l1,minmax,16,0.7553537078928341,True,False,True,,COMPLETE
35,inf,2025-07-14 13:21:51.190837,2025-07-14 13:21:52.004840,0 days 00:00:00.814003,84,False,True,0.23278472364405794,selu,True,True,0.27926793266546013,98,leaky_relu,False,False,,409.0,swish,True,True,0.23601349288299717,248.0,selu,True,False,,51.0,,,,,,,59,swish,149,,,elu,44,relu,False,False,,decrease,,swish,False,False,,custom,499.0,relu,True,False,,increase,,gelu,False,True,0.37472778031789555,same,,,,,,,,0.0011930680456259423,logcosh,0.34975110986975244,6.0,0.013087834524114605,5,sgd,relu,34,0.00023102494909798125,l2,minmax,38,0.7354273483738022,True,False,True,,COMPLETE
36,inf,2025-07-14 13:21:52.027463,2025-07-14 13:22:28.698398,0 days 00:00:36.670935,96,False,True,0.32257083027268996,relu,False,False,,319,,,,,,,,,,,,,,,,,,,,,,83,relu,240,,,gelu,22,elu,False,True,0.26883553811848615,custom,164.0,,,,,,,,,,,,,,,,,,,,,,,,,0.009338664631975949,mae,0.25010772433815537,13.0,0.07022360604524092,2,sgd,linear,17,0.03348647519203811,l1,standard,58,0.8991217640909149,False,False,True,,COMPLETE
37,inf,2025-07-14 13:22:28.747525,2025-07-14 13:22:55.298363,0 days 00:00:26.550838,85,False,False,,gelu,False,True,0.21358481932318213,232,swish,False,True,0.3290537377956632,254.0,gelu,True,True,0.41694428664658056,168.0,elu,False,False,,80.0,,,,,,0.23321685609515813,102,tanh,121,,,swish,41,selu,True,True,0.3922910356962429,same,,leaky_relu,False,True,0.3950264665863768,same,,gelu,True,False,,increase,,leaky_relu,True,False,,increase,,,,,,,,0.06046874288500702,huber,,,,5,adam,relu,42,,none,minmax,52,0.710466724755801,False,True,False,,COMPLETE
38,inf,2025-07-14 13:22:55.323600,2025-07-14 13:22:56.215253,0 days 00:00:00.891653,26,True,True,0.39718389328926273,leaky_relu,True,False,,60,tanh,False,False,,413.0,relu,False,False,,428.0,leaky_relu,True,True,0.37243715175231873,193.0,swish,False,True,0.4948171314825276,45.0,,175,gelu,207,,,linear,31,gelu,False,False,,decrease,,relu,False,False,,increase,,elu,True,False,,same,,relu,False,True,0.1873639933673163,custom,507.0,gelu,False,False,,decrease,,0.018404452131866724,logcosh,0.6846902476138238,9.0,,6,rmsprop,tanh,15,0.006277138553711843,l2,robust,42,0.809265803254632,True,False,True,,COMPLETE
39,inf,2025-07-14 13:22:56.236689,2025-07-14 13:23:35.184425,0 days 00:00:38.947736,42,False,False,,relu,False,True,0.4325862557109682,128,elu,True,False,,223.0,,,,,,,,,,,,,,,,0.32422980824160413,140,tanh,183,0.00013644290088064238,0.00014865663532030629,elu,36,relu,True,True,0.13380986226523087,increase,,selu,False,True,0.17121543877156814,custom,194.0,,,,,,,,,,,,,,,,,,,0.0016674813150358955,mse,,,,3,adam,sigmoid,30,,l1_l2,standard,31,0.7500436210151418,False,True,False,,COMPLETE
40,inf,2025-07-14 13:23:35.207670,2025-07-14 13:23:53.409218,0 days 00:00:18.201548,16,True,True,0.17509507208405925,tanh,True,False,,346,selu,False,True,0.4538383130140243,477.0,tanh,True,True,0.10199567509834755,303.0,,,,,,,,,,,,74,swish,198,,,tanh,52,leaky_relu,True,False,,custom,412.0,leaky_relu,False,False,,increase,,swish,True,False,,custom,491.0,,,,,,,,,,,,,1.9590956453396227e-05,mae,0.1862773723500867,6.0,0.24336519844970145,4,sgd,relu,36,0.0019008147759408444,l1,none,57,0.764839236971584,False,False,True,,COMPLETE
41,inf,2025-07-14 13:23:53.432996,2025-07-14 13:24:19.319258,0 days 00:00:25.886262,75,False,False,,selu,False,False,,293,tanh,False,True,0.4886212915821525,294.0,gelu,True,False,,54.0,,,,,,,,,,,0.24683378307527587,117,gelu,55,,,gelu,39,selu,False,False,,decrease,,selu,False,True,0.4837944207417525,same,,relu,False,False,,decrease,,,,,,,,,,,,,,0.002110365291746761,mae,,,,4,rmsprop,linear,24,0.0007029382283428296,l2,minmax,18,0.7310119925968092,False,True,False,,COMPLETE
42,inf,2025-07-14 13:24:19.344363,2025-07-14 13:24:59.801618,0 days 00:00:40.457255,57,False,False,,selu,False,False,,341,tanh,False,True,0.43270607154851715,445.0,gelu,True,False,,123.0,,,,,,,,,,,0.13604307402089902,157,gelu,115,,,relu,46,selu,False,False,,decrease,,selu,False,True,0.43303563689996777,same,,relu,False,False,,decrease,,,,,,,,,,,,,,0.0005731403509963066,mae,,,,4,rmsprop,linear,20,0.00024312819730035754,l2,minmax,19,0.7419363614064162,False,True,False,,COMPLETE
43,inf,2025-07-14 13:24:59.827844,2025-07-14 13:25:17.650056,0 days 00:00:17.822212,62,False,False,,gelu,False,False,,283,,,,,,,,,,,,,,,,,,,,,0.21563329722057292,200,gelu,19,,,relu,56,elu,False,False,,decrease,,,,,,,,,,,,,,,,,,,,,,,,,,0.00020172227710483115,mae,,,,2,rmsprop,linear,16,0.00012644522246484864,l2,minmax,25,0.7811887554083166,False,True,False,,COMPLETE
44,inf,2025-07-14 13:25:17.702913,2025-07-14 13:25:35.486520,0 days 00:00:17.783607,49,False,False,,selu,False,False,,314,tanh,False,True,0.49054020766599804,350.0,,,,,,,,,,,,,,,,0.1687599348307495,125,leaky_relu,100,0.008613563920081736,0.06394609147502903,relu,29,swish,False,False,,same,,selu,True,True,0.27114209552816004,same,,,,,,,,,,,,,,,,,,,,0.007013208469029716,huber,,,,3,adam,tanh,13,,l1_l2,none,24,0.7164626245796106,False,True,False,,COMPLETE
45,inf,2025-07-14 13:25:35.511865,2025-07-14 13:26:03.118568,0 days 00:00:27.606703,125,False,False,,elu,False,False,,242,gelu,False,True,0.3704687415972288,396.0,gelu,True,False,,138.0,tanh,True,False,,262.0,,,,,,0.31144694050409844,59,selu,132,,,relu,51,selu,True,False,,decrease,,leaky_relu,False,True,0.3323012729749061,same,,leaky_relu,False,False,,decrease,,selu,True,False,,same,,,,,,,,0.003168937417522429,mae,0.5703490573366548,19.0,,5,adam,linear,21,0.001389690237753632,l2,minmax,19,0.7935374370091961,False,True,True,,COMPLETE
46,inf,2025-07-14 13:26:03.142932,2025-07-14 13:26:27.642434,0 days 00:00:24.499502,78,True,True,0.24777248749842457,tanh,True,False,,153,tanh,True,False,,476.0,,,,,,,,,,,,,,,,0.2510981307624246,144,tanh,67,5.082237061778133e-05,0.002221540036694679,elu,59,leaky_relu,False,True,0.201458311153299,same,,gelu,False,False,,same,,,,,,,,,,,,,,,,,,,,0.050720773880171044,huber,0.41944069191355776,5.0,,3,rmsprop,tanh,48,,l1_l2,robust,35,0.7672764594503629,False,True,True,,COMPLETE
47,inf,2025-07-14 13:26:27.667416,2025-07-14 13:27:05.524203,0 days 00:00:37.856787,38,False,False,,swish,False,False,,406,leaky_relu,True,True,0.45217655448209215,422.0,gelu,True,False,,113.0,relu,False,True,0.12358236583732476,324.0,,,,,,,104,elu,157,,,swish,41,elu,True,False,,increase,,elu,True,True,0.42096684115213145,increase,,relu,False,False,,decrease,,tanh,False,True,0.447143104281705,decrease,,,,,,,,5.362375827672727e-05,mae,,,,5,adam,sigmoid,27,0.024974723155116375,l2,none,44,0.7274199108078836,True,False,False,,COMPLETE
48,inf,2025-07-14 13:27:05.549037,2025-07-14 13:27:41.705563,0 days 00:00:36.156526,72,True,False,,relu,True,False,,266,relu,False,False,,283.0,gelu,True,False,,194.0,relu,True,True,0.3712266938207117,441.0,leaky_relu,False,False,,357.0,0.1401714187384145,78,relu,104,,,gelu,8,tanh,True,True,0.2534833041059031,decrease,,swish,False,False,,same,,relu,False,False,,decrease,,tanh,False,False,,decrease,,relu,False,True,0.10288882959352044,custom,26.0,9.333619309685235e-05,huber,0.6768570233218008,11.0,,6,adamw,relu,31,,none,standard,28,0.703118629119483,False,True,True,8.658467559426552e-05,COMPLETE
49,inf,2025-07-14 13:27:41.755167,2025-07-14 13:28:16.756454,0 days 00:00:35.001287,43,False,True,0.4585212095898389,leaky_relu,False,True,0.3253733362736275,111,tanh,True,False,,138.0,swish,True,False,,81.0,,,,,,,,,,,0.36893502471767653,131,gelu,253,,,linear,23,relu,True,False,,same,,tanh,False,False,,decrease,,selu,False,False,,custom,230.0,,,,,,,,,,,,,0.0002772470772823446,mae,0.2848150613767825,14.0,0.4263414541673421,4,sgd,tanh,44,0.006358534815624507,l2,minmax,33,0.8380439469092149,False,True,True,,COMPLETE
