index,CI GRMN,Standard_dev,label
0,128.28142608586523,3.5725750689570495,-1.0
1,129.08585949529072,3.5725750689570495,-1.0
2,127.25610134819048,3.5725750689570495,-1.0
3,124.53149474246412,3.5725750689570495,-1.0
4,126.883468263886,3.5725750689570495,-1.0
5,126.88765782471816,3.5725750689570495,-1.0
6,128.9415052648548,3.5725750689570495,-1.0
7,129.02252984760457,3.5725750689570495,-1.0
8,129.1193385869961,3.5725750689570495,-1.0
9,128.10844515280178,3.5725750689570495,-1.0
10,128.48221559647843,3.5725750689570495,-1.0
11,126.62777094573732,3.5725750689570495,-1.0
12,125.09898671499327,3.5725750689570495,-1.0
13,126.133290672454,3.5725750689570495,-1.0
14,125.42163071799634,3.5725750689570495,-1.0
15,124.23549365738704,3.5725750689570495,-1.0
16,124.28338643358649,3.5725750689570495,-1.0
17,121.17727154063692,3.5725750689570495,-1.0
18,118.44298043474616,3.5725750689570495,-1.0
19,116.09586037628722,3.5725750689570495,-1.0
20,116.2731443861978,4.088717580466169,-1.0
21,114.60478974659856,4.597304313326721,-1.0
22,114.5808279850657,5.033165269201021,-1.0
23,108.45998839137287,6.076288490977216,-1.0
24,108.11957529366946,6.836994651623516,-1.0
25,105.80277586713495,7.624833797263756,-1.0
26,104.2840350476108,8.234052648440152,-1.0
27,100.8031470406872,8.943136165622665,-1.0
28,97.57603265020816,9.686611788398078,-1.0
29,93.82869935178071,10.560761412942846,-1.0
30,91.27986751713104,11.313644579660613,-1.0
31,86.42339413873846,12.3210024843813,-1.0
32,82.92143187960242,13.371906690578623,-1.0
33,81.66450180650153,14.059049576426627,-1.0
34,79.10432316980535,14.635560237144537,-1.0
35,76.79707253031421,15.104988065979501,-1.0
36,74.2109569378465,15.3862645876129,-1.0
37,72.18996825684341,15.670886114656225,-1.0
38,68.5563389998886,16.072272554042836,-1.0
39,65.8737121976042,16.46842917260526,-1.0
40,64.26050069718359,16.56796311035172,-1.0
41,62.830199324327296,16.494649622019153,-1.0
42,59.86115557989952,16.21099542704513,-1.0
43,57.18037274463107,16.234322326524527,-1.0
44,55.02043385656877,16.023086958027665,-1.0
45,53.569696965168205,15.681690800224679,-1.0
46,51.35564482132453,15.188761355417544,-1.0
47,48.36185140042138,14.79698425691951,-1.0
48,45.95882662512268,14.441199221195944,-1.0
49,44.11187002094961,14.13892640624401,-1.0
50,41.983982818787744,13.806980393475575,-1.0
51,39.50372001220712,13.712807014672208,-1.0
52,37.21139658306975,13.722744424419028,-1.0
53,35.79257631008517,13.56436668352905,-1.0
54,32.527075142868426,13.511237552674027,-1.0
55,29.229919416671308,13.539963115653082,-1.0
56,25.836057438303044,13.679638633797246,-1.0
57,22.67422245821151,13.8482995758062,-1.0
58,18.054888450417,14.323222805363512,-1.0
59,15.185642021024432,14.82892702761425,-1.0
60,11.78449863087762,15.321950196584671,-1.0
61,8.808001517179282,15.730695901893013,-1.0
62,4.749699464140388,16.277568091886614,-1.0
63,2.8585090339417007,16.722457974042516,-1.0
64,1.3668382608033909,17.006104782493637,-1.0
