index,NDSN ZBRA,Standard_dev,label
0,-3.917848440917425,3.5195452267539267,-1.0
1,-6.063440267435212,3.5195452267539267,-1.0
2,-7.754644689587153,3.5195452267539267,-1.0
3,-10.014193673551077,3.5195452267539267,-1.0
4,-7.8970250426087745,3.5195452267539267,-1.0
5,-7.8595921719605855,3.5195452267539267,-1.0
6,-8.448800723828754,3.5195452267539267,-1.0
7,-7.915996690810971,3.5195452267539267,-1.0
8,-8.450415604704915,3.5195452267539267,-1.0
9,-10.45637781868676,3.5195452267539267,-1.0
10,-9.847084510159192,3.5195452267539267,-1.0
11,-11.032827424895771,3.5195452267539267,-1.0
12,-10.10922780604696,3.5195452267539267,-1.0
13,-10.393831822471654,3.5195452267539267,-1.0
14,-8.749392714050359,3.5195452267539267,-1.0
15,-5.913374471437763,3.5195452267539267,-1.0
16,-13.99557096639812,3.5195452267539267,-1.0
17,-13.550556884605172,3.5195452267539267,-1.0
18,-15.21231844664949,3.5195452267539267,0.0
19,-19.20426564516073,3.5195452267539267,1.0
20,-15.887637612679754,3.477074083982778,0.0
21,-13.777481778195224,3.3931318049143595,-1.0
22,-13.094198984341602,3.3487299653835776,-1.0
23,-14.7488331030806,3.4348822061624427,-1.0
24,-16.185454212099685,3.498652815410349,-1.0
25,-16.13117856057852,3.5044880386823922,-1.0
26,-15.22142058834548,3.4543460550490015,-1.0
27,-15.37508742393149,3.3346678263204415,-1.0
28,-16.974369193323014,3.2848496547455843,-1.0
29,-14.74675070646343,3.2294768873970705,-1.0
30,-16.286309470656676,3.165690266111141,-1.0
31,-17.630578437790845,3.2024706605019015,-1.0
32,-16.97038763019279,3.1119856567489435,-1.0
33,-18.341146029734062,3.066812974784997,-1.0
34,-20.17611737470004,2.9216492328791652,1.0
35,-18.581216602095186,1.9531665656757902,1.0
36,-18.85960076533283,1.9793933737311584,1.0
37,-17.211773200083698,1.8735558523245177,1.0
38,-14.392060993138102,1.9125100514116065,-1.0
39,-18.68290077521317,1.8767829218275336,-1.0
40,-17.961141178510218,1.9004068199629274,-1.0
41,-20.047892744265525,1.9328688049529383,-1.0
42,-23.437716627005827,2.2276556479498377,-1.0
43,-25.478215872983355,2.779627841513864,-1.0
44,-23.062033265999176,2.9706232773410663,-1.0
45,-22.97827855536252,3.1017964259583364,-1.0
46,-23.49099289344005,3.175118866414917,-1.0
47,-23.86180119007568,3.2270333928911032,-1.0
48,-23.74399362386804,3.306798706025339,-1.0
49,-24.28546914267143,3.2269796025758843,-1.0
50,-25.41156307762384,3.278191547713912,-1.0
51,-25.30612790805344,3.3448258598425324,-1.0
52,-28.098136788840847,3.539150700129466,-1.0
53,-29.22414480961613,3.8253938017734432,-1.0
54,-30.120962456798782,4.176690290091725,-1.0
55,-31.230748628534517,4.46601375824015,-1.0
56,-30.213597295210647,4.5859617653686175,-1.0
57,-30.912838444358897,4.555639745979237,-1.0
58,-30.711154150091367,4.066866577810279,-1.0
59,-32.338157046512315,4.02354472944425,-1.0
60,-31.508434977402445,3.7101441140732496,-1.0
61,-32.04139235985072,3.5308579281864674,-1.0
62,-31.246939731933296,3.5044878281826555,-1.0
63,-29.021570083171127,3.472307670678658,-1.0
64,-33.991669093944694,3.52381127116853,-1.0
65,-35.634562138341806,3.617667137595062,-1.0
66,-35.08231811427134,3.596892140693389,-1.0
67,-36.32915086873292,3.6122768767723357,-1.0
68,-38.1255937457994,3.664826630088843,-1.0
69,-40.343441745415376,3.860529673111816,-1.0
70,-39.93750029973162,3.9518835952711577,-1.0
71,-39.41447580978048,3.8445793392184906,-1.0
72,-38.378379806575545,3.8028235992515906,-1.0
73,-39.38292265192479,3.839095615605481,-1.0
74,-40.19548020051021,3.9221800444467,-1.0
75,-42.634175431265895,4.195067812604289,-1.0
76,-45.27853273402201,4.5569512435303805,-1.0
77,-46.97972059902967,4.985702837873504,-1.0
78,-45.84277327389846,5.138295723843845,-1.0
79,-46.22793234210981,5.313222130609212,-1.0
80,-48.67616012947634,5.527145621273346,-1.0
81,-46.89644548155312,5.5072080156202015,-1.0
82,-47.62784077441363,5.355919255826446,-1.0
83,-48.18089873714392,4.825494657845942,-1.0
84,-48.07804777878447,4.657356471681097,-1.0
85,-49.50999839264314,4.620056898776292,-1.0
86,-58.92166881025972,5.431417215031387,-1.0
87,-59.76425510523031,6.097461379289788,-1.0
88,-71.41307476756629,8.165348578865371,1.0
89,-74.57727093359824,10.030933685290359,1.0
90,-72.62370769382869,11.10028677690362,1.0
91,-74.31716965114224,11.970275676581492,1.0
92,-71.84219974083514,12.2607821174043,1.0
93,-71.71706116876932,12.370378012760009,1.0
94,-74.07180755967894,12.473937774962396,1.0
95,-72.41057717325143,12.413350694970186,1.0
96,-71.88509289215096,12.319225550261411,1.0
97,-69.61281908109689,12.090077833226387,1.0
98,-70.31866759982606,11.684673238098448,1.0
99,-67.68196420757609,11.08817905555876,1.0
100,-68.03794830806119,10.557770940509872,1.0
101,-69.73858589558706,9.761637692196377,1.0
102,-68.92877263189355,8.811455595969223,1.0
103,-70.77138778766083,7.6918551669093596,1.0
104,-67.4854168082859,6.138782467250801,1.0
105,-64.36491934683166,4.310886785755063,1.0
106,-61.515041435557634,4.003207475167857,1.0
107,-58.88193656588261,4.121055718838643,1.0
108,-57.51230199358038,4.899592807739841,1.0
109,-54.209333255728936,5.710359754564723,1.0
110,-53.5126814576071,6.4311571075190335,1.0
111,-50.94667786962556,7.107917139134935,1.0
112,-47.26771931382919,8.063255906535241,1.0
113,-46.57295796292445,8.811406233969151,1.0
114,-44.22962715033938,9.396192830936982,1.0
115,-42.162056384666485,10.01169473961972,1.0
116,-39.586851940141415,10.627501447083025,1.0
117,-36.91236242232594,11.346020938533556,1.0
118,-35.46857881081256,11.862415376354006,1.0
119,-33.18268209735311,12.458857233122275,1.0
120,-32.707830439889435,12.798726935143856,1.0
121,-29.04848134000325,13.028760266670727,1.0
122,-28.58227057269229,13.028629339199586,1.0
123,-26.85818765077738,12.638448288093201,1.0
124,-23.920552277619123,12.41113090277314,1.0
125,-20.08676759806784,12.41851841052209,1.0
126,-17.225386235132717,12.545656144700002,1.0
127,-13.341652464434617,12.865125488731305,1.0
128,-10.221837685646506,13.17432586686685,1.0
129,-7.859171297609066,13.559264864611862,1.0
130,-5.684198653216654,13.778521422741518,1.0
131,-3.2311843839690297,14.01551895839212,1.0
132,1.4621545880490316,14.569378602951367,1.0
133,4.894849560746465,15.053172507003033,1.0
134,7.57325678059685,15.51244373148278,1.0
135,11.510927635149528,16.038916888224602,1.0
136,14.389927719962785,16.55764346462002,1.0
137,16.818008804544483,17.034886921000265,1.0
138,19.098807701940785,17.36705012185873,1.0
139,20.20563512269102,17.525995903208106,1.0
140,10.549343580467756,16.72570648435142,1.0
141,13.780370367922965,16.076031931482586,1.0
142,16.726125716965875,15.281430336088833,1.0
143,19.001807231804232,14.385884161234296,1.0
144,21.50329626355402,13.517751850853635,1.0
145,25.015462124623536,12.859640917251278,1.0
146,28.534863418728875,12.336277023733015,1.0
147,30.264089965063864,11.926650741742565,1.0
148,33.682497524683,11.714765057955795,1.0
149,36.83376078374207,11.605450139024729,1.0
150,38.085465655982254,11.397122184353037,1.0
151,44.3510637187697,11.622409781701087,1.0
152,49.7692054269361,12.404185085404949,1.0
153,54.52249595376473,13.481548848052947,1.0
154,58.27123637670349,14.628965181705755,1.0
155,61.77726617141069,15.884708319633365,0.0
156,65.46656552305262,17.184133197464483,0.0
157,68.61859093482337,18.440805719007617,0.0
158,72.1674749460376,19.68668358743952,0.0
159,74.34737533030628,20.7393060350951,0.0
160,75.56785292877173,20.783762340175127,0.0
161,76.11338457258735,20.621207080887505,0.0
162,75.94118641809244,20.212460197174416,0.0
163,75.8182232159516,19.53503765122492,0.0
164,76.20193789464628,18.65341045432731,0.0
165,77.48109714372283,17.722607713771048,0.0
166,78.58958985018032,16.747403626476697,0.0
167,79.29794322307728,15.525801598957953,0.0
168,80.47056521751115,14.245649386297831,0.0
169,80.00574436539797,12.792803984489707,0.0
170,80.54146727512622,10.929399635023927,0.0
171,82.83704651808101,9.40876262952545,0.0
172,76.49783572289533,7.820685129912182,0.0
173,71.11850076633198,6.460267330706067,1.0
174,73.09083123144416,5.255823372223808,1.0
