index,A GNRC,Standard_dev,label
0,-59.75955879428386,2.7889970865118685,-1.0
1,-60.17260426339672,2.7889970865118685,-1.0
2,-60.36472055854409,2.7889970865118685,-1.0
3,-60.60796948217471,2.7889970865118685,-1.0
4,-62.82268226170746,2.7889970865118685,-1.0
5,-63.01818598150795,2.7889970865118685,-1.0
6,-65.00838318030787,2.7889970865118685,-1.0
7,-63.416229664303344,2.7889970865118685,-1.0
8,-62.243686162850906,2.7889970865118685,-1.0
9,-63.04971761764381,2.7889970865118685,-1.0
10,-64.86313444721215,2.7889970865118685,-1.0
11,-64.99007071434977,2.7889970865118685,-1.0
12,-65.39843785156489,2.7889970865118685,-1.0
13,-66.45056157666468,2.7889970865118685,-1.0
14,-66.86310156098776,2.7889970865118685,-1.0
15,-67.14960380014784,2.7889970865118685,-1.0
16,-67.55633033592021,2.7889970865118685,-1.0
17,-67.86688490750817,2.7889970865118685,-1.0
18,-68.8004644236297,2.7889970865118685,-1.0
19,-66.5973846442806,2.7889970865118685,-1.0
20,-68.31899792084914,2.7029168519564073,-1.0
21,-71.21077706996279,2.836688723877954,-1.0
22,-74.11155896617319,3.211049455214278,1.0
23,-71.87131180662851,3.2001106609038463,-1.0
24,-73.91195420975771,3.464531961614431,1.0
25,-76.05836510326932,3.8541626787448267,1.0
26,-76.7967429080494,4.284285251046911,1.0
27,-77.47380960054946,4.571245768358908,1.0
28,-78.56847042914997,4.740799106946854,1.0
29,-76.50964052839709,4.672737912532523,1.0
30,-73.0888213437551,4.5030680277101105,1.0
31,-71.33462825109528,4.2766988425129355,1.0
32,-70.5160455993998,4.052428559740982,1.0
33,-72.48315345126069,3.8732198530307627,1.0
34,-70.40175064080063,3.710623583385326,1.0
35,-71.92324630994746,3.529177797705195,1.0
36,-70.49969335131013,3.380508040661527,1.0
37,-69.4062428306162,3.2877037106851326,1.0
38,-65.96228130703331,3.5093121703199674,1.0
39,-65.88398555901719,3.5739163255816195,1.0
40,-67.03472436057791,3.6600225262294845,1.0
41,-67.35548107094996,3.815969885952889,1.0
42,-65.40288213419446,4.058649771157067,1.0
43,-63.494440182448166,4.445593966096867,1.0
44,-63.96603550713955,4.677145295505467,1.0
45,-63.22839510273923,4.78333904231291,1.0
46,-62.49726422865685,4.7930892920055435,1.0
47,-61.57798476209952,4.692231734384126,1.0
48,-59.79495485371247,4.455843659498722,1.0
49,-59.29424567588238,4.308157979273407,1.0
50,-57.633038847452,4.494819200238326,1.0
51,-56.17805411671563,4.811837012483336,1.0
52,-53.3010168880121,5.327922677367177,1.0
53,-52.258097760525416,5.617672446584438,1.0
54,-51.65493594167414,5.934988528990313,1.0
55,-47.73624419425842,6.346071886213716,1.0
56,-46.52875088287556,6.749637110343916,1.0
57,-43.93445527263301,7.266577078750122,1.0
58,-42.99110536628167,7.855779808003981,1.0
59,-41.4895119932452,8.376350631134953,1.0
