,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-11-12,31.330000,32.310000,30.710000,31.730000,31.730000,378871,0.000000,1.000000
2021-11-15,31.790000,31.790000,30.620000,30.980000,30.980000,287007,0.000000,1.000000
2021-11-16,30.750000,31.560000,30.480000,30.810000,30.810000,191372,0.000000,1.000000
2021-11-17,30.690000,33.320000,30.580600,32.500000,32.500000,543040,0.000000,1.000000
2021-11-18,32.590000,32.590000,30.690000,31.660000,31.660000,798147,0.000000,1.000000
2021-11-19,32.110000,32.580000,31.280000,32.570000,32.570000,216208,0.000000,1.000000
2021-11-22,32.620000,32.690000,30.710000,30.930000,30.930000,572184,0.000000,1.000000
2021-11-23,30.650000,32.180000,28.600000,29.090000,29.090000,1056135,0.000000,1.000000
2021-11-24,28.900000,30.130000,28.040100,30.090000,30.090000,248637,0.000000,1.000000
2021-11-26,29.510000,30.310000,28.695000,29.230000,29.230000,136890,0.000000,1.000000
2021-11-29,30.130000,30.685000,29.290000,30.460000,30.460000,256412,0.000000,1.000000
2021-11-30,30.600000,30.690000,29.000000,29.440000,29.440000,333124,0.000000,1.000000
2021-12-01,29.930000,30.290000,27.610000,28.600000,28.600000,902950,0.000000,1.000000
2021-12-02,28.320000,29.580000,27.810000,29.490000,29.490000,951301,0.000000,1.000000
2021-12-03,29.700000,29.700000,28.280000,29.000000,29.000000,858314,0.000000,1.000000
2021-12-06,29.960000,29.960000,28.620000,29.270000,29.270000,440469,0.000000,1.000000
2021-12-07,30.300000,32.120000,28.780000,31.600000,31.600000,428047,0.000000,1.000000
2021-12-08,31.570000,32.080000,30.290400,31.650000,31.650000,462281,0.000000,1.000000
2021-12-09,31.650000,32.015000,29.980000,30.500000,30.500000,816799,0.000000,1.000000
2021-12-10,30.460000,30.940000,29.220000,29.770000,29.770000,457584,0.000000,1.000000
2021-12-13,29.410000,29.960000,28.550000,29.620000,29.620000,505551,0.000000,1.000000
2021-12-14,28.940000,29.830000,27.940000,28.900000,28.900000,457965,0.000000,1.000000
2021-12-15,28.790000,29.510000,27.780000,29.330000,29.330000,432914,0.000000,1.000000
2021-12-16,29.840000,29.840000,26.640000,26.840000,26.840000,560903,0.000000,1.000000
2021-12-17,26.510000,29.270000,25.470000,28.630000,28.630000,1179855,0.000000,1.000000
2021-12-20,28.040000,28.287200,26.917500,27.690000,27.690000,468623,0.000000,1.000000
2021-12-21,28.140000,29.470000,27.750000,28.940000,28.940000,228083,0.000000,1.000000
2021-12-22,28.940000,29.810000,28.425000,29.180000,29.180000,255050,0.000000,1.000000
2021-12-23,29.200000,30.640000,29.100000,29.990000,29.990000,366857,0.000000,1.000000
2021-12-27,30.060000,30.530000,29.490000,29.940000,29.940000,269923,0.000000,1.000000
2021-12-28,29.650000,30.340000,28.650000,29.010000,29.010000,362961,0.000000,1.000000
2021-12-29,28.960000,29.550000,28.590000,29.420000,29.420000,183216,0.000000,1.000000
2021-12-30,29.820000,30.580000,29.300000,29.480000,29.480000,157299,0.000000,1.000000
2021-12-31,29.450000,30.120000,28.750000,28.810000,28.810000,180392,0.000000,1.000000
2022-01-03,29.000000,29.280000,27.740000,28.520000,28.520000,272770,0.000000,1.000000
2022-01-04,28.590000,28.696900,27.020200,27.870000,27.870000,369081,0.000000,1.000000
2022-01-05,27.480000,27.810000,25.180000,25.660000,25.660000,1031257,0.000000,1.000000
2022-01-06,25.600000,26.490000,24.950000,25.790000,25.790000,496446,0.000000,1.000000
2022-01-07,25.680000,26.820000,25.100000,25.840000,25.840000,517483,0.000000,1.000000
2022-01-10,25.310000,25.980000,24.520000,25.600000,25.600000,1106936,0.000000,1.000000
2022-01-11,25.450000,27.030000,25.450000,26.710000,26.710000,511816,0.000000,1.000000
2022-01-12,27.290000,27.310000,25.730000,26.410000,26.410000,533547,0.000000,1.000000
2022-01-13,26.410000,26.810000,25.290000,25.490000,25.490000,554702,0.000000,1.000000
2022-01-14,25.190000,25.840000,24.250000,24.260000,24.260000,448825,0.000000,1.000000
2022-01-18,23.760000,25.000000,23.270000,24.600000,24.600000,618212,0.000000,1.000000
2022-01-19,24.830000,26.420000,24.830000,25.610000,25.610000,874253,0.000000,1.000000
2022-01-20,25.600000,26.555000,25.110000,25.490000,25.490000,513552,0.000000,1.000000
2022-01-21,25.080000,25.330000,23.440000,23.910000,23.910000,450723,0.000000,1.000000
2022-01-24,23.340000,25.320000,22.760000,25.270000,25.270000,733604,0.000000,1.000000
2022-01-25,24.540000,25.060000,23.380000,24.340000,24.340000,604024,0.000000,1.000000
2022-01-26,25.180000,26.040000,24.370000,24.730000,24.730000,811753,0.000000,1.000000
2022-01-27,25.110000,25.420000,23.240000,23.860000,23.860000,687487,0.000000,1.000000
2022-01-28,24.240000,24.540000,22.920000,24.380000,24.380000,771103,0.000000,1.000000
2022-01-31,24.450000,26.000000,24.450000,25.940000,25.940000,569796,0.000000,1.000000
2022-02-01,25.610000,25.960000,25.090000,25.730000,25.730000,1426965,0.000000,1.000000
2022-02-02,26.030000,27.020000,25.990000,26.330000,26.330000,754029,0.000000,1.000000
2022-02-03,25.620000,26.210000,24.566100,25.070000,25.070000,706944,0.000000,1.000000
2022-02-04,25.760000,26.870800,24.290000,26.110000,26.110000,752265,0.000000,1.000000
2022-02-07,26.240000,26.760000,25.440000,26.000000,26.000000,449672,0.000000,1.000000
2022-02-08,25.910000,27.060000,25.710000,26.630000,26.630000,602044,0.000000,1.000000
2022-02-09,27.010000,27.760000,26.575000,27.710000,27.710000,694741,0.000000,1.000000
2022-02-10,27.140000,27.860000,26.580000,26.770000,26.770000,569792,0.000000,1.000000
2022-02-11,26.880000,27.649900,25.840000,26.170000,26.170000,341181,0.000000,1.000000
2022-02-14,26.100000,27.430000,25.670000,26.930000,26.930000,379957,0.000000,1.000000
2022-02-15,27.250000,28.010000,26.660000,27.980000,27.980000,229570,0.000000,1.000000
2022-02-16,27.780000,27.780000,26.755000,27.540000,27.540000,235516,0.000000,1.000000
2022-02-17,27.210000,27.210000,25.690000,25.940000,25.940000,302919,0.000000,1.000000
2022-02-18,25.810000,26.350000,24.320000,24.630000,24.630000,583870,0.000000,1.000000
2022-02-22,24.330000,25.730000,24.330000,25.030000,25.030000,514901,0.000000,1.000000
2022-02-23,25.040000,25.680000,24.730000,24.780000,24.780000,250297,0.000000,1.000000
2022-02-24,23.960000,26.570000,23.750000,26.530000,26.530000,513829,0.000000,1.000000
2022-02-25,26.650000,27.680000,25.930000,27.680000,27.680000,360545,0.000000,1.000000
2022-02-28,27.430000,28.150000,27.060000,28.070000,28.070000,568716,0.000000,1.000000
2022-03-01,28.150000,29.440000,27.370000,28.290000,28.290000,1097282,0.000000,1.000000
2022-03-02,28.300000,28.690000,27.690000,28.000000,28.000000,230939,0.000000,1.000000
2022-03-03,28.140000,28.480000,26.350000,26.820000,26.820000,334408,0.000000,1.000000
2022-03-04,26.670000,27.250000,25.660000,27.240000,27.240000,526486,0.000000,1.000000
2022-03-07,27.400000,28.110000,26.610000,26.820000,26.820000,586803,0.000000,1.000000
2022-03-08,26.770000,27.180000,25.950000,25.980000,25.980000,616235,0.000000,1.000000
2022-03-09,26.630000,27.615000,26.630000,27.000000,27.000000,446478,0.000000,1.000000
2022-03-10,26.620000,27.120000,26.120000,26.750000,26.750000,317198,0.000000,1.000000
