,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,56.400000,56.610000,55.800000,55.900000,17.117969,2081200,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-05,55.820000,55.840000,54.370000,54.710000,16.753561,3408600,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-06,54.590000,54.850000,53.910000,53.960000,16.523893,2956500,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-07,53.790000,54.220000,52.910000,53.840000,16.487146,2221300,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-08,53.710000,53.970000,53.060000,53.810000,16.477959,1364500,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-11,54.030000,54.800000,53.950000,54.590000,16.716814,1225900,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-12,54.430000,54.910000,53.930000,54.400000,16.658632,1238200,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-13,53.620000,53.910000,52.860000,53.870000,16.496333,2641400,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-14,53.770000,54.020000,53.510000,53.600000,16.413652,1411500,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
2010-01-15,53.580000,53.600000,51.930000,52.420000,16.052306,3162300,0.000000,1.000000,SRE,Common Stock,Sempra Energy,"Sempra Energy is a North American energy infrastructure company based in San Diego, California. Sempra Energy's focus is on electric and natural gas infrastructure. Its operating companies include: Southern California Gas Company (SoCalGas) and San Diego Gas & Electric (SDG&E) in Southern California; Oncor Electric Delivery Company (Oncor) in Texas; Sempra LNG; and IEnova, based in Mexico.",1032208,NYSE,USD,USA,ENERGY & TRANSPORTATION,GAS & OTHER SERVICES COMBINED,"488 8TH AVENUE, P O BOX 129400, SAN DIEGO, CA, US",https://www.sempra.com,December,2025-03-31,48991011000,5400000000,16.51,1.987,47.17,2.51,0.0341,4.55,20.9,0.222,0.258,0.0193,0.0971,13347000000,5506000000,4.55,0.103,0.045,80.86,2,7,10,0,0,16.51,16.69,3.671,1.593,6.44,15.03,0.656,93.45,61.37,75.87,80.1,652170000,651205000,0.073,90.492,2025-07-15,2025-06-26
