,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-19,78.960000,79.750000,78.570000,79.680000,42.945877,8722200,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-20,78.710000,78.930000,77.650000,78.150000,42.121238,8703800,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-21,78.150000,78.180000,76.060000,76.240000,41.091788,12573200,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-22,75.980000,76.590000,74.430000,74.590000,40.202472,13825000,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-25,75.150000,75.270000,74.090000,74.550000,40.180913,9129700,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-26,74.080000,74.880000,73.700000,74.150000,39.965321,10558200,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-27,73.940000,74.360000,73.130000,73.700000,39.722780,13373200,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-28,73.970000,74.180000,72.320000,73.240000,39.474850,12828800,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-01-29,73.530000,74.070000,71.750000,72.120000,38.871193,15265600,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
2010-02-01,72.700000,73.740000,72.140000,73.580000,39.658103,11828500,0.000000,1.000000,CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",https://www.chevron.com,December,2025-03-31,257010958000,38500000000,16.96,4.026,85.46,6.6,0.0478,8.75,109.27,0.0803,0.106,0.0523,0.101,195112993000,75975000000,8.75,-0.327,-0.01,163.53,5,9,9,1,0,16.96,16.92,1.317,1.722,1.462,6.62,0.801,166.93,130.45,140.8,149.82,1732230000,1622522000,6.855,70.694,2025-06-10,2025-05-19
